,Round,Match Name,Team ID,Team Name,id,Full Name,pos,team,team_opponent,pts,On Field?
3041,4,Fire The Worpedo vs Swimming n Titch,11070,Fire The Worpedo,139,Dayne Beams,MID,COL,WBD,0,True
3526,7,Swimming n Titch vs Casting Crouch,2501,Swimming n Titch,390,Josh Kelly,MID,GWS,STK,0,True
3612,7,TryingAnewStratton vs DEVQON.1,7061,DEVQON.1,31,Wayne Milera,DEF,ADE,FRE,0,True
3857,8,Barbeques Treloar vs Fire The Worpedo,8740,Barbeques Treloar,356,Joel Selwood,MID,GEE,NTH,0,True
266,10,Fire The Worpedo vs DEVQON.1,7061,DEVQON.1,489,Christian Salem,DEF,MEL,GWS,0,True
250,10,Casting Crouch vs Salt&VinegarCripps,25252,Casting Crouch,6,Matt Crouch,MID,ADE,WCE,0,True
364,11,Fire The Worpedo vs Swimming n Titch,2501,Swimming n Titch,360,Rhys Stanley,RUC,GEE,SYD,0,True
443,11,DEVQON.1 vs Salt&VinegarCripps,7061,DEVQON.1,489,Christian Salem,DEF,MEL,ADE,0,True
1337,16,Man of Steele vs DEVQON.1,7061,DEVQON.1,548,Travis Boak,FWD,PTA,ADE,0,True
1288,16,Casting Crouch vs Fire The Worpedo,11070,Fire The Worpedo,464,Max Gawn,RUC,MEL,CAR,0,True
1434,17,Casting Crouch vs Salt&VinegarCripps,831,Salt&VinegarCripps,570,Dan Houston,DEF,PTA,BRL,0,True
1437,17,Casting Crouch vs Salt&VinegarCripps,831,Salt&VinegarCripps,373,Stephen Coniglio,MID,GWS,RIC,0,True
1485,17,Casting Crouch vs Salt&VinegarCripps,25252,Casting Crouch,73,Hugh McCluggage,MID,BRL,PTA,0,True
1720,18,TryingAnewStratton vs Man of Steele,344,TryingAnewStratton,788,Shannon Hurn,DEF,WCE,MEL,0,True
1897,19,TryingAnewStratton vs Casting Crouch,344,TryingAnewStratton,199,Dyson Heppell,MID,ESS,GCS,0,True
